# wikipedia via https://wikitable2csv.ggor.de/
Year,Australian Open,French Open,Wimbledon,US Open
1950,Louise Brough (4/6),Doris Hart (2/6),Louise Brough (5/6),Margaret Osborne duPont (6/6)
1951,Nancye Wynne Bolton (6/6),Shirley Fry (1/4),Doris Hart (3/6),Maureen Connolly (1/9)
1952,Thelma Coyne Long (1/2),Doris Hart (4/6),Maureen Connolly (2/9),Maureen Connolly (3/9)
1953,Maureen Connolly (4/9),Maureen Connolly (5/9),Maureen Connolly (6/9),Maureen Connolly (7/9)
1954,Thelma Coyne Long (2/2),Maureen Connolly (8/9),Maureen Connolly (9/9),Doris Hart (5/6)
1955,Beryl Penrose (1/1),Angela Mortimer (1/3),Louise Brough (6/6),Doris Hart (6/6)
1956,Mary Carter Reitano (1/2),Althea Gibson (1/5),Shirley Fry (2/4),Shirley Fry (3/4)
1957,Shirley Fry (4/4),Shirley Bloomer Brasher (1/1),Althea Gibson (2/5),Althea Gibson (3/5)
1958,Angela Mortimer (2/3),Zsuzsa Körmöczy (1/1),Althea Gibson (4/5),Althea Gibson (5/5)
1959,Mary Carter Reitano (2/2),Christine Truman (1/1),Maria Bueno (1/7),Maria Bueno (2/7)
1960,Margaret Smith Court (1/24),Darlene Hard (1/3),Maria Bueno (3/7),Darlene Hard (2/3)
1961,Margaret Smith Court (2/24),Ann Haydon Jones (1/3),Angela Mortimer (3/3),Darlene Hard (3/3)
1962,Margaret Smith Court (3/24),Margaret Smith Court (4/24),Karen Hantze Susman (1/1),Margaret Smith Court (5/24)
1963,Margaret Smith Court (6/24),Lesley Turner Bowrey (1/2),Margaret Smith Court (7/24),Maria Bueno (4/7)
1964,Margaret Smith Court (8/24),Margaret Smith Court (9/24),Maria Bueno (5/7),Maria Bueno (6/7)
1965,Margaret Smith Court (10/24),Lesley Turner Bowrey (2/2),Margaret Smith Court (11/24),Margaret Smith Court (12/24)
1966,Margaret Smith Court (13/24),Ann Haydon Jones (2/3),Billie Jean Moffitt King (1/12),Maria Bueno (7/7)
1967,Nancy Richey (1/2),Françoise Dürr (1/1),Billie Jean Moffitt  King (2/12),Billie Jean Moffitt King (3/12)
1968,Billie Jean Moffitt King (4/12),↓ Open Era ↓,↓ Open Era ↓,↓ Open Era ↓
1968,↓ Open Era ↓,Nancy Richey (2/2),Billie Jean Moffitt King (5/12),Virginia Wade (1/3)
1969,Margaret Smith Court (14/24),Margaret Smith Court (15/24),Ann Haydon Jones (3/3),Margaret Smith Court (16/24)
1970,Margaret Smith Court (17/24),Margaret Smith Court (18/24),Margaret Smith Court (19/24),Margaret Smith Court (20/24)
1971,Margaret Smith Court (21/24),Evonne Goolagong Cawley (1/7),Evonne Goolagong Cawley (2/7),Billie Jean Moffitt King (6/12)
1972,Virginia Wade (2/3),Billie Jean Moffitt King (7/12),Billie Jean Moffitt King (8/12),Billie Jean Moffitt King (9/12)
1973,Margaret Smith Court (22/24),Margaret Smith Court (23/24),Billie Jean Moffitt King (10/12),Margaret Smith Court (24/24)
1974,Evonne Goolagong Cawley (3/7),Chris Evert (1/18),Chris Evert (2/18),Billie Jean Moffitt King (11/12)
1975,Evonne Goolagong Cawley (4/7),Chris Evert (3/18),Billie Jean Moffitt King (12/12),Chris Evert (4/18)
1976,Evonne Goolagong Cawley (5/7),Sue Barker (1/1),Chris Evert (5/18),Chris Evert (6/18)
1977,Kerry Melville Reid (1/1) (Jan),Mima Jaušovec (1/1),Virginia Wade (3/3),Chris Evert (7/18)
1977,Evonne Goolagong Cawley (6/7) (Dec),Mima Jaušovec (1/1),Virginia Wade (3/3),Chris Evert (7/18)
1978,Chris O'Neil (1/1) ‡,Virginia Ruzici (1/1),Martina Navratilova (1/18),Chris Evert (8/18)
1979,Barbara Jordan (1/1) ‡,Chris Evert (9/18),Martina Navratilova (2/18),Tracy Austin (1/2)
1980,Hana Mandlíková (1/4) ‡,Chris Evert (10/18),Evonne Goolagong Cawley (7/7),Chris Evert (11/18)
1981,Martina Navratilova (3/18) ‡,Hana Mandlíková (2/4),Chris Evert (12/18),Tracy Austin (2/2)
1982,Chris Evert (14/18) ‡,Martina Navratilova (4/18),Martina Navratilova (5/18),Chris Evert (13/18)
1983,Martina Navratilova (8/18) ‡,Chris Evert (15/18),Martina Navratilova (6/18),Martina Navratilova (7/18)
1984,Chris Evert (16/18) ‡,Martina Navratilova (9/18),Martina Navratilova (10/18),Martina Navratilova (11/18)
1985,Martina Navratilova (13/18) ‡,Chris Evert (17/18),Martina Navratilova (12/18),Hana Mandlíková (3/4)
1986,Tournament date changed ‡,Chris Evert (18/18),Martina Navratilova (14/18),Martina Navratilova (15/18)
1987,Hana Mandlíková (4/4),Steffi Graf (1/22),Martina Navratilova (16/18),Martina Navratilova (17/18)
1988,Steffi Graf (2/22),Steffi Graf (3/22),Steffi Graf (4/22),Steffi Graf (5/22)
1989,Steffi Graf (6/22),Arantxa Sánchez Vicario (1/4),Steffi Graf (7/22),Steffi Graf (8/22)
1990,Steffi Graf (9/22),Monica Seles (1/9),Martina Navratilova (18/18),Gabriela Sabatini (1/1)
1991,Monica Seles (2/9),Monica Seles (3/9),Steffi Graf (10/22),Monica Seles (4/9)
1992,Monica Seles (5/9),Monica Seles (6/9),Steffi Graf (11/22),Monica Seles (7/9)
1993,Monica Seles (8/9),Steffi Graf (12/22),Steffi Graf (13/22),Steffi Graf (14/22)
1994,Steffi Graf (15/22),Arantxa Sánchez Vicario (2/4),Conchita Martínez (1/1),Arantxa Sánchez Vicario (3/4)
1995,Mary Pierce (1/2),Steffi Graf (16/22),Steffi Graf (17/22),Steffi Graf (18/22)
1996,Monica Seles (9/9),Steffi Graf (19/22),Steffi Graf (20/22),Steffi Graf (21/22)
1997,Martina Hingis (1/5),Iva Majoli (1/1),Martina Hingis (2/5),Martina Hingis (3/5)
1998,Martina Hingis (4/5),Arantxa Sánchez Vicario (4/4),Jana Novotná (1/1),Lindsay Davenport (1/3)
1999,Martina Hingis (5/5),Steffi Graf (22/22),Lindsay Davenport (2/3),Serena Williams (1/23)
2000,Lindsay Davenport (3/3),Mary Pierce (2/2),Venus Williams (1/7),Venus Williams (2/7)
2001,Jennifer Capriati (1/3),Jennifer Capriati (2/3),Venus Williams (3/7),Venus Williams (4/7)
2002,Jennifer Capriati (3/3),Serena Williams (2/23),Serena Williams (3/23),Serena Williams (4/23)
2003,Serena Williams (5/23),Justine Henin (1/7),Serena Williams (6/23),Justine Henin (2/7)
2004,Justine Henin (3/7),Anastasia Myskina (1/1),Maria Sharapova (1/5),Svetlana Kuznetsova (1/2)
2005,Serena Williams (7/23),Justine Henin (4/7),Venus Williams (5/7),Kim Clijsters (1/4)
2006,Amélie Mauresmo (1/2),Justine Henin (5/7),Amélie Mauresmo (2/2),Maria Sharapova (2/5)
2007,Serena Williams (8/23),Justine Henin (6/7),Venus Williams (6/7),Justine Henin (7/7)
2008,Maria Sharapova (3/5),Ana Ivanovic (1/1),Venus Williams (7/7),Serena Williams (9/23)
2009,Serena Williams (10/23),Svetlana Kuznetsova (2/2),Serena Williams (11/23),Kim Clijsters (2/4)
2010,Serena Williams (12/23),Francesca Schiavone (1/1),Serena Williams (13/23),Kim Clijsters (3/4)
2011,Kim Clijsters (4/4),Li Na (1/2),Petra Kvitová (1/2),Samantha Stosur (1/1)
2012,Victoria Azarenka  (1/2),Maria Sharapova (4/5),Serena Williams (14/23),Serena Williams (15/23)
2013,Victoria Azarenka (2/2),Serena Williams (16/23),Marion Bartoli (1/1),Serena Williams (17/23)
2014,Li Na (2/2),Maria Sharapova (5/5),Petra Kvitová (2/2),Serena Williams (18/23)
2015,Serena Williams (19/23),Serena Williams (20/23),Serena Williams (21/23),Flavia Pennetta (1/1)
2016,Angelique Kerber (1/3),Garbiñe Muguruza (1/2),Serena Williams (22/23),Angelique Kerber (2/3)
2017,Serena Williams (23/23),Jeļena Ostapenko (1/1),Garbiñe Muguruza (2/2),Sloane Stephens (1/1)
2018,Caroline Wozniacki (1/1),Simona Halep (1/2),Angelique Kerber (3/3),Naomi Osaka (1/4)
2019,Naomi Osaka (2/4),Ashleigh Barty (1/3),Simona Halep (2/2),Bianca Andreescu (1/1)
2020,Sofia Kenin (1/1),Iga Świątek (1/1),Tournament cancelled ,Naomi Osaka (3/4)
2021,Naomi Osaka (4/4),Barbora Krejčíková (1/1),Ashleigh Barty (2/3),Emma Raducanu (1/1)
2022,Ashleigh Barty (3/3),,,

