# name,planet_status,mass,mass_error_min,mass_error_max,mass_sini,mass_sini_error_min,mass_sini_error_max,radius,radius_error_min,radius_error_max,orbital_period,orbital_period_error_min,orbital_period_error_max,semi_major_axis,semi_major_axis_error_min,semi_major_axis_error_max,eccentricity,eccentricity_error_min,eccentricity_error_max,inclination,inclination_error_min,inclination_error_max,angular_distance,discovered,updated,omega,omega_error_min,omega_error_max,tperi,tperi_error_min,tperi_error_max,tconj,tconj_error_min,tconj_error_max,tzero_tr,tzero_tr_error_min,tzero_tr_error_max,tzero_tr_sec,tzero_tr_sec_error_min,tzero_tr_sec_error_max,lambda_angle,lambda_angle_error_min,lambda_angle_error_max,impact_parameter,impact_parameter_error_min,impact_parameter_error_max,tzero_vr,tzero_vr_error_min,tzero_vr_error_max,k,k_error_min,k_error_max,temp_calculated,temp_calculated_error_min,temp_calculated_error_max,temp_measured,hot_point_lon,geometric_albedo,geometric_albedo_error_min,geometric_albedo_error_max,log_g,publication,detection_type,mass_detection_type,radius_detection_type,alternate_names,molecules,star_name,ra,dec,mag_v,mag_i,mag_j,mag_h,mag_k,star_distance,star_distance_error_min,star_distance_error_max,star_metallicity,star_metallicity_error_min,star_metallicity_error_max,star_mass,star_mass_error_min,star_mass_error_max,star_radius,star_radius_error_min,star_radius_error_max,star_sp_type,star_age,star_age_error_min,star_age_error_max,star_teff,star_teff_error_min,star_teff_error_max,star_detected_disc,star_magnetic_field,star_alternate_names
1RXS 1609 b,Confirmed,14.0,3.0,2.0,,,,1.7,,,,,,330.0,0.0,0.0,,,,,,,2.275862,2008,2018-11-15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1800.0,,,,,4.0,Published in a refereed paper,Imaging,,,"1RXS J160929.1-210524 b, 1RXS J1609b, 1RXS J1609-2105b, RXJ 1609","CO, H2O, K",1RXS 1609,242.375,-21.0827778,,10.99,9.82,9.12,8.92,145.0,20.0,20.0,,,,0.73,0.05,0.05,1.35,,,K7V,0.011,0.002,0.002,4060.0,200.0,200.0,,,"1RXS1609, 1RXS J1609, 1RXS J160929"
1RXS J235133.3+312720 b,Confirmed,32.0,6.0,6.0,,,,,,,,,,120.0,20.0,20.0,,,,,,,,2012,2019-02-26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Published in a refereed paper,Imaging,,,,,1RXS J235133.3+312720,357.890308282,31.4563946913,13.6,,,,,,,,,,,0.45,0.05,0.05,,,,M2V,0.1,0.05,0.05,,,,,,2MASS J23513366+3127229
1SWASP J1407 b,Confirmed,,,,20.0,6.0,6.0,,,,3725.0,900.0,900.0,3.9,1.7,1.7,,,,,,,,2012,2014-10-29,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Published in a refereed paper,Primary Transit,Radial Velocity,,,,1SWASP J1407,211.950000016,-39.761944469,12.4,,,,,133.0,12.0,12.0,,,,0.9,,,0.99,0.11,0.11,,0.016,,,4400.0,100.0,100.0,,,
24 Boo b,Confirmed,,,,0.91,0.11,0.11,,,,30.3506,0.0078,0.0078,0.19,0.009,0.012,0.042,0.029,0.048,,,,,2018,2021-10-02,210.0,130.0,100.0,2450008.6,7.9,10.1,,,,,,,,,,,,,,,,,,,59.9,3.3,3.3,,,,,,,,,,Published in a refereed paper,Radial Velocity,Radial Velocity,,,,24 Boo,217.162500013,49.845000026,5.6,,,,,100.0,2.5,2.5,-0.77,0.03,0.03,0.99,0.13,0.19,10.64,0.59,0.84,G3IV,6.92,4.8,4.8,4893.0,15.0,15.0,,,
24 Sex b,Confirmed,,,,1.84,0.11,0.11,,,,452.8,4.5,2.1,1.333,0.009,0.004,0.09,0.06,0.14,,,,0.017821,2010,2021-10-02,9.2,165.4,277.9,2454762.0,172.3,172.3,,,,,,,,,,,,,,,,,,,33.2,1.6,1.6,,,,,,,,,,Published in a refereed paper,Radial Velocity,Radial Velocity,,,,24 Sex,155.868205808,-0.902243675771,7.38,,,,,72.2084,0.6832,0.6832,-0.03,0.04,0.04,1.54,0.08,0.08,4.9,0.08,0.08,G5,2.7,0.4,0.4,5098.0,44.0,44.0,,,
24 Sex c,Confirmed,,,,1.52,0.2,0.2,,,,883.0,14.0,32.0,2.08,0.02,0.05,0.29,0.09,0.16,,,,0.027807,2010,2021-10-02,220.5,320.9,182.2,2454930.0,96.5,96.5,,,,,,,,,,,,,,,,,,,23.5,2.9,2.9,,,,,,,,,,Published in a refereed paper,Radial Velocity,Radial Velocity,,,,24 Sex,155.868205808,-0.902243675771,7.38,,,,,72.2084,0.6832,0.6832,-0.03,0.04,0.04,1.54,0.08,0.08,4.9,0.08,0.08,G5,2.7,0.4,0.4,5098.0,44.0,44.0,,,
2I/Borisov,Confirmed,,,,,,,6.2e-05,,,,,,,,,3.155,0.13,0.13,,,,,2019,2020-07-21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Announced on a website,Imaging,,,C/2019 Q4 (Borisov),"C2, CN, CO, H2O, NH2, O I, OH",Sun,0.0,0.0,,,,,,,,,,,,1.0,,,1.0,,,,,,,,,,,,
2M 0103-55 (AB) b,Confirmed,13.0,1.0,1.0,,,,,,,,,,84.0,,,,,,,,,,2013,2020-05-29,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Published in a refereed paper,Imaging,,,,H,2M 0103-55 (AB),15.9,-55.2656,,,7.5,,,47.2,3.1,3.1,,,,0.4,,,,,,M,0.03,,,,,,,,
2M 0219-39 b,Confirmed,13.9,1.1,1.1,,,,1.44,0.03,0.03,,,,156.0,10.0,10.0,,,,,,,,2015,2016-02-23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1683.0,,,,,,Published in a refereed paper,Imaging,Spectrum,Theoretical,,,2M 0219-39,34.841666674,-39.423055569,,,,,,39.4,2.6,2.6,,,,0.11,0.01,0.01,0.27,0.01,0.01,M6,,,,3064.0,76.0,76.0,,,2MASS J0292210-3925225
2M 0441+23 b,Confirmed,7.5,2.5,2.5,,,,,,,,,,15.0,0.6,0.6,,,,,,,0.107143,2010,2016-02-23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Published in a refereed paper,Imaging,,,,,2M 0441+23,70.4375,23.0308333,,,14.2,13.72,13.16,140.0,,,,,,0.02,,,,,,M8.5,0.001,,,,,,,,
2M 1252+2735 b,Confirmed,,,,6.88,0.64,0.21,,,,35.08,0.12,0.12,,,,0.0,,,,,,,2021,2022-02-08,,,,,,,,,,,,,,,,,,,,,,,,,502.0,104.0,75.0,,,,,,,,,,Published in a refereed paper,Radial Velocity,Radial Velocity,,,,2M 1252+2735,193.212500017,27.586944459,12.0,,,,,197.2,4.0,4.0,,,,,,,,,,G8IV,,,,,,,,,
2M 1253+2734 b,Confirmed,,,,8.3,0.2,1.8,,,,24.31,0.021,0.021,,,,0.681,0.053,0.053,,,,,2021,2022-02-08,,,,,,,,,,,,,,,,,,,,,,,,,1070.0,170.0,1450.0,,,,,,,,,,Published in a refereed paper,Radial Velocity,Radial Velocity,,,,2M 1253+2734,193.254166667,27.57194446,,,,,,,,,,,,,,,,,,,,,,,,,,,
2M 1258+2630 b,Confirmed,,,,3.4,0.18,0.31,,,,11.88,0.19,0.19,,,,0.598,0.084,0.084,,,,,2021,2022-02-08,,,,,,,,,,,,,,,,,,,,,,,,,550.0,120.0,410.0,,,,,,,,,,Published in a refereed paper,Radial Velocity,Radial Velocity,,,,2M 1258+2630,194.595833341,26.502500012,,,,,,,,,,,,,,,,,,,,,,,,,,,
2M 2140+16 b,Confirmed,20.0,20.0,80.0,,,,0.92,0.39,0.39,7340.0,584.0,584.0,3.53,0.15,0.15,0.26,0.06,0.06,46.2,8.7,8.7,0.1412,2010,2012-01-19,223.0,47.0,47.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Published in a refereed paper,Imaging,,,,,2M 2140+16,325.1208333,16.4216667,,,,,,25.0,10.0,10.0,,,,0.08,0.06,0.06,0.1,0.043,0.043,,,,,2300.0,80.0,80.0,,,
2M 2206-20 b,Confirmed,30.0,20.0,70.0,,,,1.3,0.18,0.18,8686.0,69.4,69.4,4.48,0.4,0.4,0.0,,,44.3,0.7,0.7,0.167979,2010,2012-01-19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Published in a refereed paper,Imaging,,,,,2M 2206-20,331.5958333,-20.785,,,,,,26.67,2.63,2.63,,,,0.13,0.05,0.05,0.11,0.015,0.015,,,,,2350.0,80.0,80.0,,,
2M 2236+4751 b,Confirmed,12.5,1.5,1.5,,,,,,,,,,230.0,20.0,20.0,,,,,,,3.7,2016,2016-11-03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1200.0,,,,,,Published in a refereed paper,Imaging,Spectrum,,,"CO, H2O",2M 2236+4751,339.104166675,47.861944471,12.5,,,,,63.0,,,,,,0.6,0.05,0.05,,,,K7,0.12,0.01,0.01,,,,,,
2M J2126-81 b,Confirmed,13.3,1.7,1.7,,,,,,,,,,6900.0,,,,,,,,,,2016,2016-02-23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1800.0,,,,,,Published in a refereed paper,Imaging,Spectrum,,,,TYC 9486-927-1,321.366666676,-81.64111113,9.0,,,,,24.75,4.25,4.25,,,,0.4,,,,,,M2,0.027,0.017,0.017,,,,,,
2M0045+16,Confirmed,25.0,4.6,4.6,,,,,,,,,,,,,,,,,,,,2019,2019-06-07,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Submitted to a professional journal,Imaging,Spectrum,,,,,11.3392916738,16.5790555768,,,,,,15.4,0.05,0.05,,,,,,,,,,,,,,,,,,,
2M0117-34,Confirmed,16.4,3.7,3.7,,,,,,,,,,,,,,,,,,,,2019,2019-06-07,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Submitted to a professional journal,Imaging,Spectrum,,,,,19.4475000158,-34.056944451,,,,,,39.02,1.04,1.04,,,,,,,,,,,,,,,,,,,
2M0355,Confirmed,28.0,2.0,2.0,,,,1.22,0.02,0.02,,,,,,,,,,,,,,2008,2022-01-18,,,,,,,,,,,,,,,,,,,,,,,,,,,,1527.0,14.0,14.0,,,,,,4.66,Published in a refereed paper,Imaging,Spectrum,Flux,"2MASS J03552337+1133437, 2MASS J0355+1133",CO,,58.8474050975,11.5621657883,,,,,,9.1203,0.0613,0.0613,,,,,,,,,,,,,,,,,,,
2M0437 b,Confirmed,4.0,,,,,,,,,,,,118.0,1.3,1.3,,,,,,,,2021,2021-10-19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1450.0,,,,,,Published in a refereed paper,Imaging,Spectrum,,,,2M0437,69.3405544,26.850296,15.7,,,,,128.1,0.5,0.5,0.01,0.05,0.05,0.0165,0.0015,0.0015,0.84,0.11,0.11,,0.0025,0.0004,0.0004,3100.0,100.0,100.0,,,
2M0444,Confirmed,50.0,,,,,,,,,,,,,,,,,,,,,,2013,2022-01-03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Published in a refereed paper,Imaging,Spectrum,,"2MASS J04442713+2512164, IRAS S04414+2506",,,71.11309,25.20456,,,,,,143.2,1.6,1.6,,,,,,,,,,,,,,,,,,,
2M0838+15 b,Confirmed,,,,,,,,,,,,,27.0,2.7,2.7,,,,,,,,2013,2021-07-03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Published in a refereed paper,Imaging,Spectrum,,,,2M0838+15,129.550000004,15.187777785,,,,,,49.0,12.0,12.0,,,,,,,,,,T3,,,,,,,,,
2M0838+15 c,Confirmed,,,,,,,,,,,,,27.0,2.7,2.7,,,,,,,,2013,2021-07-03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Published in a refereed paper,Imaging,Spectrum,,,,2M0838+15,129.550000004,15.187777785,,,,,,49.0,12.0,12.0,,,,,,,,,,T3,,,,,,,,,
2M1059-21 b,Confirmed,66.95,4.84,4.41,,,,,,,690.0,3.0,3.4,0.8,0.02,0.01,0.146,0.053,0.074,32.9,3.44,2.94,,2020,2020-05-01,256.0,29.0,59.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Published in a refereed paper,Astrometry,Astrometry,,,,2M1059-21,164.962500017,-21.219166673,,,,,,31.81,0.7,0.7,,,,0.81,0.008,0.002,,,,L2,,,,,,,,,
2M1207 A,Confirmed,60.0,20.0,80.0,,,,,,,,,,42.0,2.0,19.0,,,,,,,,2004,2018-09-16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Published in a refereed paper,Imaging,,,"2M1207, 2MASS J12073346-3932539",,,181.887500011,-39.548333356,,,,,,52.4,1.1,1.1,,,,,,,,,,,,,,,,,,,
2M1207 b,Confirmed,5.0,2.0,2.0,,,,,,,,,,42.0,2.0,19.0,,,,,,,0.877863,2004,2018-12-04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Published in a refereed paper,Imaging,,,"2MASS J12073346-3932539 b, 2M 1207 b, 2M1207 b, 2M1207B, 2MASS1207-3932 B, 2MASSW J1207334-393254 b, 2M 1207-39 b",,,181.887500011,-39.548333356,,,,,,52.4,1.1,1.1,,,,,,,,,,,,,,,,,,,
2M1510A a,Confirmed,40.0,3.0,3.0,,,,1.57,1.56,1.57,20.902,0.006,0.006,0.063,0.001,0.001,0.31,0.02,0.02,88.5,0.1,0.1,,2020,2020-03-24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Published in a refereed paper,Primary Transit,Radial Velocity,Primary Transit,2MASSW  J1510478-281817 a,,,227.6991666826,-28.304722232,,,,,,36.6,0.3,0.3,,,,,,,,,,,,,,,,,,,
2M1510A b,Confirmed,39.3,3.0,3.0,,,,1.57,1.56,1.57,20.902,0.006,0.006,0.063,0.001,0.001,0.31,0.02,0.02,88.5,0.1,0.1,,2020,2020-03-24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Published in a refereed paper,Primary Transit,Radial Velocity,Primary Transit,,,,227.6991666826,-28.304722232,,,,,,36.6,0.3,0.3,,,,,,,,,,,,,,,,,,,
2MASS 0359+2009 b,Confirmed,20.0,5.0,5.0,,,,,,,,,,540.0,,,,,,,,,,2019,2021-06-24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2400.0,,,,,,Published in a refereed paper,Imaging,Spectrum,Theoretical,,,2MASS 0359+2009,59.79166667,20.160000011,,,,,,117.76,2.3,2.3,,,,0.06,0.01,0.01,,,,M4.75,0.0075,0.0025,0.0025,2900.0,50.0,50.0,,,
2MASS J0001+1535,Confirmed,33.0,4.0,4.0,,,,1.22,0.02,0.02,,,,,,,,,,,,,,2022,2022-01-23,,,,,,,,,,,,,,,,,,,,,,,,,,,,1725.0,5.0,5.0,,,,,,4.73,Published in a refereed paper,Imaging,Spectrum,Flux,2MASS J00011217+1535355,,,0.300687111371219,15.5932068139479,,,,,,31.6163,1.8013,1.8013,,,,,,,,,,,,,,,,,,,
2MASS J0030-1450,Confirmed,10.0,2.0,2.0,,,,1.36,0.04,0.04,,,,,,,,,,,,,,2022,2022-01-23,,,,,,,,,,,,,,,,,,,,,,,,,,,,1264.0,78.0,78.0,,,,,,4.12,Published in a refereed paper,Imaging,Spectrum,Flux,2MASS J0030300-145033,,,7.62555101004408,-14.842610024088,,,,,,26.7,3.3,3.3,,,,,,,,,,,,,,,,,,,
2MASS J0031+5749,Confirmed,24.0,7.0,7.0,,,,1.2,0.06,0.06,,,,,,,,,,,,,,2022,2022-01-23,,,,,,,,,,,,,,,,,,,,,,,,,,,,1343.0,58.0,58.0,,,,,,4.6,Published in a refereed paper,Imaging,Spectrum,Flux,2MASS J00310928+5749364,,,7.788700003096,57.82679724666,,,,,,11.6,1.4,1.4,,,,,,,,,,,,,,,,,,,
2MASS J00413538-5621127 A,Confirmed,30.0,,,,,,,,,,,,,,,,,,,,,,2009,2019-02-27,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Published in a refereed paper,Imaging,,,,,,10.3974532026,-56.3535514379,,,,,,34.7133,0.9474,0.9474,,,,,,,,,,,,,,,,,,,
2MASS J00413538-5621127 B,Confirmed,15.0,,,,,,,,,126.0,37.0,86.0,8.9,1.9,3.7,,,,,,,,2010,2019-02-27,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Published in a refereed paper,Imaging,,,,,,10.3974532026,-56.3535514379,,,,,,34.7133,0.9474,0.9474,,,,,,,,,,,,,,,,,,,
2MASS J01225093-2439505 b,Confirmed,24.5,2.5,2.5,,,,,,,,,,52.0,6.0,6.0,,,,,,,,2013,2021-08-20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Published in a refereed paper,Imaging,,,"WISE J012251.02-243952.0 b, 2M 0122-24 b",,2MASS J01225093-2439505,20.712243,-24.664049,,,10.084,9.47,,36.0,4.0,4.0,,,,0.4,0.05,0.05,,,,M3.5 V,0.12,-0.01,0.01,3530.0,50.0,50.0,,,WISE J012251.02-243952.0
2MASS J0153-6744,Confirmed,17.0,2.0,2.0,,,,1.48,0.03,0.03,,,,,,,,,,,,,,2022,2022-01-23,,,,,,,,,,,,,,,,,,,,,,,,,,,,1664.0,53.0,53.0,,,,,,4.26,Published in a refereed paper,Imaging,Spectrum,Flux,2MASS J01531463-6744181,,,28.3109600048768,-67.7383880187104,,,,,,66.2,11.0,11.0,,,,,,,,,,,,,,,,,,,
2MASS J0249-0557 (AB) c,Confirmed,11.6,1.0,1.3,,,,,,,,,,,,,,,,,,,,2018,2018-07-31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Published in a refereed paper,Astrometry,Astrometry,,,,,42.484952078,-5.95983636252,,,,,,48.9,5.4,4.4,,,,,,,,,,,,,,,,,,,
2MASS J0249-0557A,Confirmed,48.0,12.0,13.0,,,,,,,,,,,,,,,,,,,,2018,2018-07-31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Published in a refereed paper,Astrometry,Astrometry,,,,,42.484952078,-5.95983636252,,,,,,48.9,5.4,4.4,,,,,,,,,,,,,,,,,,,
2MASS J0249-0557B,Confirmed,44.0,11.0,14.0,,,,,,,,,,,,,,,,,,,,2018,2018-07-31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Published in a refereed paper,Astrometry,Astrometry,,,,,42.484952078,-5.95983636252,,,,,,48.9,5.4,4.4,,,,,,,,,,,,,,,,,,,
2MASS J0326-2102,Confirmed,18.0,4.0,4.0,,,,1.32,0.06,0.06,,,,,,,,,,,,,,2022,2022-01-23,,,,,,,,,,,,,,,,,,,,,,,,,,,,1359.0,46.0,46.0,,,,,,4.37,Published in a refereed paper,Imaging,Spectrum,Flux,2MASS J03264225-2102057,,,51.6760710140857,-21.0349370019496,,,,,,41.0,4.0,4.0,,,,,,,,,,,,,,,,,,,
2MASS J0342-6817,Confirmed,17.0,2.0,2.0,,,,1.48,0.03,0.03,,,,,,,,,,,,,,2022,2022-01-23,,,,,,,,,,,,,,,,,,,,,,,,,,,,1650.0,51.0,51.0,,,,,,4.26,Published in a refereed paper,Imaging,Spectrum,Flux,2MASSI J0342162-681732,,,55.5675520054042,-68.2922520128016,,,,,,81.0,1.0,1.0,,,,,,,,,,,,,,,,,,,
2MASS J0348-6022,Confirmed,43.0,18.0,22.0,,,,0.91,0.1,0.2,,,,,,,,,,,,,,2021,2021-07-27,,,,,,,,,,,,,,,,,,,,,,,,,,,,880.0,110.0,110.0,,,,,,,Published in a refereed paper,Imaging,Theoretical,Theoretical,2MASS J03480772-6022270,,,57.0321710025737,-60.374183902236,,,,,,9.0,1.0,1.0,,,,,,,,,,,,,,,,,,,
2MASS J0407+1546,Confirmed,67.0,28.0,9.0,,,,0.97,0.8,0.24,,,,,,,,,,,,,,2021,2021-03-11,,,,,,,,,,,,,,,,,,,,,,,,,,,,1840.0,210.0,210.0,,,,,,,Published in a refereed paper,Imaging,Theoretical,Theoretical,,,,61.7813608341355,15.7793166834808,,,,,,36.4421,2.3553,2.3553,,,,,,,,,,,,,,,,,,,
2MASS J0447-1216,Confirmed,51.0,16.0,16.0,,,,1.02,0.07,0.07,,,,,,,,,,,,,,2022,2022-01-23,,,,,,,,,,,,,,,,,,,,,,,,,,,,1521.0,139.0,139.0,,,,,,5.05,Published in a refereed paper,Imaging,Spectrum,Flux,2MASS J04473039-1216155,,,71.876650010132,-12.27098334212,,,,,,27.7,2.9,2.9,,,,,,,,,,,,,,,,,,,
2MASS J0459-2853,Confirmed,8.0,1.0,1.0,,,,1.32,0.03,0.03,,,,,,,,,,,,,,,2022-01-23,,,,,,,,,,,,,,,,,,,,,,,,,,,,1152.0,98.0,98.0,,,,,,4.06,Published in a refereed paper,Imaging,Spectrum,Flux,2MASS J04590034-2853396,,,14.7514490001159,-28.8943460264768,,,,,,38.0,8.0,8.0,,,,,,,,,,,,,,,,,,,
